year,region_id,region_name,region_ons_code,road_category_id,road_category_name,link_length_km,link_length_miles,all_motor_vehicles
1995,9,South East,E12000008,1,TM,605.15,376.02,10492800000
1995,9,South East,E12000008,2,PM,17,10.56,232700000
1995,9,South East,E12000008,3,TA,852.93,529.99,5790400000
1995,9,South East,E12000008,4,PA,4296.1,2669.47,13455400000
1995,9,South East,E12000008,5,M,41020.7,25489.08,15888800000
1995,10,West Midlands,E12000005,1,TM,358.45,222.73,5721300000
1995,10,West Midlands,E12000005,2,PM,6.9,4.29,153900000
1995,10,West Midlands,E12000005,3,TA,836.42,519.73,3405100000
1995,10,West Midlands,E12000005,4,PA,2674.41,1661.8,6892200000
1995,10,West Midlands,E12000005,5,M,28069.2,17441.39,10092400000
1995,11,North East,E12000001,1,TM,52.21,32.44,517000000
1995,11,North East,E12000001,2,PM,3.85,2.39,57200000
1995,11,North East,E12000001,3,TA,435.81,270.8,2054300000
1995,11,North East,E12000001,4,PA,1309.77,813.85,3258600000
1995,11,North East,E12000001,5,M,14084.6,8751.76,4737600000
1996,1,South West,E12000009,1,TM,312.24,194.02,4004100000
1996,1,South West,E12000009,3,TA,999.13,620.83,3819600000
1996,1,South West,E12000009,4,PA,3879.45,2410.58,8414400000
1996,1,South West,E12000009,5,M,43815.5,27225.69,9438300000
1996,2,East Midlands,E12000004,1,TM,185.07,115,3250800000
1996,2,East Midlands,E12000004,3,TA,1223.44,760.21,5372500000
1996,2,East Midlands,E12000004,4,PA,2574.06,1599.45,5914500000
1996,2,East Midlands,E12000004,5,M,26866.8,16694.26,7331500000
1996,3,Scotland,S92000003,1,TM,347.39,215.86,2849800000
1996,3,Scotland,S92000003,3,TA,2836.5,1762.52,5519600000
1996,3,Scotland,S92000003,4,PA,7414.59,4607.21,7035600000
1996,3,Scotland,S92000003,5,M,48220.1,29962.58,7922200000
1996,4,Wales,W92000004,1,TM,135.01,83.89,1503600000
1996,4,Wales,W92000004,3,TA,1518.48,943.54,3413600000
1996,4,Wales,W92000004,4,PA,2584.14,1605.71,4292900000
1996,4,Wales,W92000004,5,M,28469,17689.82,5477800000
1996,5,North West,E12000002,1,TM,573.46,356.33,8152800000
1996,5,North West,E12000002,2,PM,24.03,14.93,200000000
1996,5,North West,E12000002,3,TA,827.34,514.09,2906400000
1996,5,North West,E12000002,4,PA,3130.85,1945.42,9037400000
1996,5,North West,E12000002,5,M,31621.8,19648.88,10524200000
1996,6,London,E12000007,1,TM,68.12,42.33,1453700000
1996,6,London,E12000007,3,TA,327.93,203.77,3895700000
1996,6,London,E12000007,4,PA,1372.2,852.65,7161700000
1996,6,London,E12000007,5,M,12679.6,7878.74,7037700000
1996,7,East of England,E12000006,1,TM,252.34,156.8,4563300000
1996,7,East of England,E12000006,3,TA,1139.6,708.11,6274500000
1996,7,East of England,E12000006,4,PA,2722.22,1691.51,8041300000
1996,7,East of England,E12000006,5,M,34804.4,21626.45,11485200000
1996,8,Yorkshire and the Humber,E12000003,1,TM,345.68,214.8,4446900000
1996,8,Yorkshire and the Humber,E12000003,2,PM,3.49,2.17,53800000
1996,8,Yorkshire and the Humber,E12000003,3,TA,704.61,437.82,3235400000
1996,8,Yorkshire and the Humber,E12000003,4,PA,2561.53,1591.66,6839800000
1996,8,Yorkshire and the Humber,E12000003,5,M,27669.6,17193.09,8104800000
1996,9,South East,E12000008,1,TM,615.69,382.57,11235300000
1996,9,South East,E12000008,2,PM,10.57,6.57,150500000
1996,9,South East,E12000008,3,TA,858.2,533.26,6047100000
1996,9,South East,E12000008,4,PA,4274.01,2655.75,13778300000
1996,9,South East,E12000008,5,M,41106.2,25542.21,16116200000
1996,10,West Midlands,E12000005,1,TM,364.69,226.61,6090400000
1996,10,West Midlands,E12000005,2,PM,4.29,2.67,92200000
1996,10,West Midlands,E12000005,3,TA,840.81,522.46,3541900000
1996,10,West Midlands,E12000005,4,PA,2661.36,1653.69,7004000000
1996,10,West Midlands,E12000005,5,M,28126.5,17477,10229900000
1996,11,North East,E12000001,1,TM,53.12,33.01,543400000
1996,11,North East,E12000001,2,PM,2.39,1.49,35200000
1996,11,North East,E12000001,3,TA,438.32,272.36,2142600000
1996,11,North East,E12000001,4,PA,1303.21,809.78,3317000000
1996,11,North East,E12000001,5,M,14114.3,8770.22,4801700000
1997,1,South West,E12000009,1,TM,319.95,198.81,4165800000
1997,1,South West,E12000009,3,TA,1007.23,625.86,3906400000
1997,1,South West,E12000009,4,PA,3887.62,2415.66,8495300000
1997,1,South West,E12000009,5,M,43893.9,27274.4,9581500000
1997,2,East Midlands,E12000004,1,TM,189.64,117.84,3430200000
1997,2,East Midlands,E12000004,3,TA,1232.4,765.78,5509700000
1997,2,East Midlands,E12000004,4,PA,2579.79,1603.01,5974200000
1997,2,East Midlands,E12000004,5,M,26918.6,16726.44,7441500000
1997,3,Scotland,S92000003,1,TM,355.97,221.19,3014900000
1997,3,Scotland,S92000003,3,TA,2859.66,1776.91,5655400000
1997,3,Scotland,S92000003,4,PA,7429.27,4616.33,7117100000
1997,3,Scotland,S92000003,5,M,48302.1,30013.53,8040300000
1997,4,Wales,W92000004,1,TM,138.34,85.96,1602200000
1997,4,Wales,W92000004,3,TA,1530.95,951.29,3500600000
1997,4,Wales,W92000004,4,PA,2589.67,1609.15,4358800000
1997,4,Wales,W92000004,5,M,28517.3,17719.83,5562200000
1997,5,North West,E12000002,1,TM,587.62,365.13,8586000000
1997,5,North West,E12000002,2,PM,24.09,14.97,205800000
1997,5,North West,E12000002,3,TA,832.7,517.42,2985900000
1997,5,North West,E12000002,4,PA,3139.52,1950.81,9057800000
1997,5,North West,E12000002,5,M,31693.9,19693.68,10654400000
1997,6,London,E12000007,1,TM,69.81,43.38,1525800000
1997,6,London,E12000007,3,TA,325.64,202.34,3889100000
1997,6,London,E12000007,4,PA,1377.34,855.84,7170300000
1997,6,London,E12000007,5,M,12715.4,7900.98,7109100000
1997,7,East of England,E12000006,1,TM,258.56,160.66,4779100000
1997,7,East of England,E12000006,3,TA,1148.28,713.51,6516600000
1997,7,East of England,E12000006,4,PA,2728.54,1695.44,8114500000
1997,7,East of England,E12000006,5,M,34869.5,21666.9,11662200000
1997,8,Yorkshire and the Humber,E12000003,1,TM,354.22,220.1,4637800000
1997,8,Yorkshire and the Humber,E12000003,2,PM,3.5,2.17,55800000
1997,8,Yorkshire and the Humber,E12000003,3,TA,709.26,440.71,3310800000
1997,8,Yorkshire and the Humber,E12000003,4,PA,2568.03,1595.7,6875800000
1997,8,Yorkshire and the Humber,E12000003,5,M,27728.1,17229.44,8222100000
1997,9,South East,E12000008,1,TM,630.89,392.02,11767600000
1997,9,South East,E12000008,2,PM,10.6,6.59,155500000
1997,9,South East,E12000008,3,TA,864.35,537.08,6290900000
1997,9,South East,E12000008,4,PA,4284.26,2662.12,13937400000
1997,9,South East,E12000008,5,M,41192.3,25595.71,16344500000
1997,10,West Midlands,E12000005,1,TM,373.7,232.21,6379200000
1997,10,West Midlands,E12000005,2,PM,4.3,2.67,94700000
1997,10,West Midlands,E12000005,3,TA,846.28,525.85,3644100000
1997,10,West Midlands,E12000005,4,PA,2668.02,1657.83,7048700000
1997,10,West Midlands,E12000005,5,M,28183.5,17512.41,10365900000
1997,11,North East,E12000001,1,TM,54.44,33.83,580500000
1997,11,North East,E12000001,2,PM,2.4,1.49,35000000
1997,11,North East,E12000001,3,TA,441.34,274.24,2225300000
1997,11,North East,E12000001,4,PA,1306.4,811.76,3369800000
1997,11,North East,E12000001,5,M,14143.5,8788.36,4864500000
1998,1,South West,E12000009,1,TM,324.1,201.39,4364300000
1998,1,South West,E12000009,3,TA,997.32,619.71,3998600000
1998,1,South West,E12000009,4,PA,3907.46,2427.98,8622000000
1998,1,South West,E12000009,5,M,43971.7,27322.75,9688400000
1998,2,East Midlands,E12000004,1,TM,192.1,119.37,3632000000
1998,2,East Midlands,E12000004,3,TA,1220.24,758.22,5560900000
1998,2,East Midlands,E12000004,4,PA,2592.17,1610.7,6082900000
1998,2,East Midlands,E12000004,5,M,26970.7,16758.82,7530300000
1998,3,Scotland,S92000003,1,TM,360.59,224.06,3151600000
1998,3,Scotland,S92000003,3,TA,2831.54,1759.44,5699900000
1998,3,Scotland,S92000003,4,PA,7469.59,4641.39,7204400000
1998,3,Scotland,S92000003,5,M,48385.7,30065.48,8141200000
1998,4,Wales,W92000004,1,TM,140.14,87.08,1686000000
1998,4,Wales,W92000004,3,TA,1515.89,941.93,3515500000
1998,4,Wales,W92000004,4,PA,2602.64,1617.21,4386600000
1998,4,Wales,W92000004,5,M,28566.2,17750.21,5631200000
1998,5,North West,E12000002,1,TM,595.25,369.87,8976500000
1998,5,North West,E12000002,2,PM,23.78,14.78,211500000
1998,5,North West,E12000002,3,TA,824.46,512.3,2985200000
1998,5,North West,E12000002,4,PA,3150.21,1957.45,9123000000
1998,5,North West,E12000002,5,M,31766.4,19738.73,10804300000
1998,6,London,E12000007,1,TM,70.71,43.94,1557100000
1998,6,London,E12000007,3,TA,322.23,200.22,3900900000
1998,6,London,E12000007,4,PA,1378.61,856.63,7133600000
1998,6,London,E12000007,5,M,12751.1,7923.17,7228100000
1998,7,East of England,E12000006,1,TM,261.92,162.75,4883000000
1998,7,East of England,E12000006,3,TA,1136.97,706.48,6583100000
1998,7,East of England,E12000006,4,PA,2740.96,1703.15,8272400000
1998,7,East of England,E12000006,5,M,34934.6,21707.35,11796800000
1998,8,Yorkshire and the Humber,E12000003,1,TM,358.81,222.95,4871400000
1998,8,Yorkshire and the Humber,E12000003,2,PM,3.45,2.14,57200000
1998,8,Yorkshire and the Humber,E12000003,3,TA,702.24,436.35,3330100000
1998,8,Yorkshire and the Humber,E12000003,4,PA,2578.3,1602.08,7017100000
1998,8,Yorkshire and the Humber,E12000003,5,M,27786.2,17265.54,8333500000
1998,9,South East,E12000008,1,TM,639.08,397.11,12341300000
1998,9,South East,E12000008,2,PM,10.46,6.5,159800000
1998,9,South East,E12000008,3,TA,855.82,531.78,6420500000
1998,9,South East,E12000008,4,PA,4302.91,2673.7,14174500000
1998,9,South East,E12000008,5,M,41277.6,25648.71,16547100000
1998,10,West Midlands,E12000005,1,TM,378.55,235.22,6643300000
1998,10,West Midlands,E12000005,2,PM,4.24,2.63,95400000
1998,10,West Midlands,E12000005,3,TA,837.9,520.65,3687900000
1998,10,West Midlands,E12000005,4,PA,2678.92,1664.6,7120000000
1998,10,West Midlands,E12000005,5,M,28241.1,17548.21,10508500000
1998,11,North East,E12000001,1,TM,55.14,34.26,598900000
1998,11,North East,E12000001,2,PM,2.37,1.47,35900000
1998,11,North East,E12000001,3,TA,436.98,271.53,2244100000
1998,11,North East,E12000001,4,PA,1311.91,815.18,3415700000
1998,11,North East,E12000001,5,M,14173.4,8806.94,4939700000
1999,1,South West,E12000009,1,TM,326.8,203.06,4491900000
1999,1,South West,E12000009,3,TA,999.3,620.94,4022000000
1999,1,South West,E12000009,4,PA,3922.4,2437.27,8727700000
1999,1,South West,E12000009,5,M,44050.4,27371.65,9895300000
1999,2,East Midlands,E12000004,1,TM,193.7,120.36,3818500000
1999,2,East Midlands,E12000004,3,TA,1222.05,759.35,5732500000
1999,2,East Midlands,E12000004,4,PA,2603.01,1617.44,6141600000
1999,2,East Midlands,E12000004,5,M,27022.5,16791,7699000000
1999,3,Scotland,S92000003,1,TM,363.59,225.92,3208700000
1999,3,Scotland,S92000003,3,TA,2837.27,1763,5773500000
1999,3,Scotland,S92000003,4,PA,7495.31,4657.37,7259900000
1999,3,Scotland,S92000003,5,M,48469.3,30117.43,8322000000
1999,4,Wales,W92000004,1,TM,141.3,87.8,1765900000
1999,4,Wales,W92000004,3,TA,1519,943.86,3523500000
1999,4,Wales,W92000004,4,PA,2612.89,1623.57,4429300000
1999,4,Wales,W92000004,5,M,28615.9,17781.1,5759200000
1999,5,North West,E12000002,1,TM,600.2,372.95,9229700000
1999,5,North West,E12000002,2,PM,24.1,14.98,209200000
1999,5,North West,E12000002,3,TA,825.23,512.77,2996700000
1999,5,North West,E12000002,4,PA,3168.58,1968.86,9108200000
1999,5,North West,E12000002,5,M,31839.8,19784.33,11062200000
1999,6,London,E12000007,1,TM,71.3,44.3,1556600000
1999,6,London,E12000007,3,TA,319.7,198.65,4055900000
1999,6,London,E12000007,4,PA,1390.7,864.14,7287200000
1999,6,London,E12000007,5,M,12787.1,7945.54,7415400000
1999,7,East of England,E12000006,1,TM,264.1,164.1,4981600000
1999,7,East of England,E12000006,3,TA,1138.87,707.66,6765300000
1999,7,East of England,E12000006,4,PA,2753.23,1710.78,8352200000
1999,7,East of England,E12000006,5,M,34999.5,21747.68,12058000000
1999,8,Yorkshire and the Humber,E12000003,1,TM,361.8,224.81,4950300000
1999,8,Yorkshire and the Humber,E12000003,2,PM,3.5,2.17,55900000
1999,8,Yorkshire and the Humber,E12000003,3,TA,702.95,436.79,3371000000
1999,8,Yorkshire and the Humber,E12000003,4,PA,2591.53,1610.3,7016500000
1999,8,Yorkshire and the Humber,E12000003,5,M,27846.5,17303.01,8533600000
1999,9,South East,E12000008,1,TM,644.4,400.41,12725800000
1999,9,South East,E12000008,2,PM,10.6,6.59,166400000
1999,9,South East,E12000008,3,TA,857,532.52,6581700000
1999,9,South East,E12000008,4,PA,4323.18,2686.3,14254500000
1999,9,South East,E12000008,5,M,41364.1,25702.46,16926400000
1999,10,West Midlands,E12000005,1,TM,381.7,237.18,6685000000
1999,10,West Midlands,E12000005,2,PM,4.3,2.67,83200000
1999,10,West Midlands,E12000005,3,TA,838.7,521.14,3712000000
1999,10,West Midlands,E12000005,4,PA,2692.39,1672.97,7184200000
1999,10,West Midlands,E12000005,5,M,28298.2,17583.69,10756200000
1999,11,North East,E12000001,1,TM,55.6,34.55,597800000
